data_di_misurazione,valore_inquinante_misurato,Latitude,Longitude,denominazione,inquinante_misurato
2019-10-03,8,45.693962,9.662369,Bergamo,PM2.5
2019-10-04,12,45.693962,9.662369,Bergamo,PM2.5
2019-10-05,14,45.693962,9.662369,Bergamo,PM2.5
2019-10-06,18,45.693962,9.662369,Bergamo,PM2.5
2019-10-07,10,45.693962,9.662369,Bergamo,PM2.5
2019-10-08,16,45.693962,9.662369,Bergamo,PM2.5
2019-10-09,18,45.693962,9.662369,Bergamo,PM2.5
2019-10-10,10,45.693962,9.662369,Bergamo,PM2.5
2019-10-11,20,45.693962,9.662369,Bergamo,PM2.5
2019-10-12,23,45.693962,9.662369,Bergamo,PM2.5
2019-10-13,25,45.693962,9.662369,Bergamo,PM2.5
2019-10-14,27,45.693962,9.662369,Bergamo,PM2.5
2019-10-15,21,45.693962,9.662369,Bergamo,PM2.5
2019-10-16,7,45.693962,9.662369,Bergamo,PM2.5
2019-10-17,11,45.693962,9.662369,Bergamo,PM2.5
2019-10-18,13,45.693962,9.662369,Bergamo,PM2.5
2019-10-19,9,45.693962,9.662369,Bergamo,PM2.5
2019-10-20,6,45.693962,9.662369,Bergamo,PM2.5
2019-10-21,4,45.693962,9.662369,Bergamo,PM2.5
2019-10-22,8,45.693962,9.662369,Bergamo,PM2.5
2019-10-23,9,45.693962,9.662369,Bergamo,PM2.5
2019-10-24,15,45.693962,9.662369,Bergamo,PM2.5
2019-10-25,9,45.693962,9.662369,Bergamo,PM2.5
2019-10-26,13,45.693962,9.662369,Bergamo,PM2.5
2019-10-27,12,45.693962,9.662369,Bergamo,PM2.5
2019-10-28,23,45.693962,9.662369,Bergamo,PM2.5
2019-10-29,27,45.693962,9.662369,Bergamo,PM2.5
2019-10-30,16,45.693962,9.662369,Bergamo,PM2.5
2019-10-31,16,45.693962,9.662369,Bergamo,PM2.5
2019-11-01,21,45.693962,9.662369,Bergamo,PM2.5
2019-11-02,27,45.693962,9.662369,Bergamo,PM2.5
2019-11-03,11,45.693962,9.662369,Bergamo,PM2.5
2019-11-04,10,45.693962,9.662369,Bergamo,PM2.5
2019-11-05,13,45.693962,9.662369,Bergamo,PM2.5
2019-11-06,12,45.693962,9.662369,Bergamo,PM2.5
2019-11-07,10,45.693962,9.662369,Bergamo,PM2.5
2019-11-08,8,45.693962,9.662369,Bergamo,PM2.5
2019-11-09,19,45.693962,9.662369,Bergamo,PM2.5
2019-11-10,21,45.693962,9.662369,Bergamo,PM2.5
2019-11-11,16,45.693962,9.662369,Bergamo,PM2.5
2019-11-12,13,45.693962,9.662369,Bergamo,PM2.5
2019-11-13,20,45.693962,9.662369,Bergamo,PM2.5
2019-11-14,10,45.693962,9.662369,Bergamo,PM2.5
2019-11-15,11,45.693962,9.662369,Bergamo,PM2.5
2019-11-16,16,45.693962,9.662369,Bergamo,PM2.5
2019-11-17,15,45.693962,9.662369,Bergamo,PM2.5
2019-11-18,14,45.693962,9.662369,Bergamo,PM2.5
2019-11-19,8,45.693962,9.662369,Bergamo,PM2.5
2019-11-20,14,45.693962,9.662369,Bergamo,PM2.5
2019-11-21,26,45.693962,9.662369,Bergamo,PM2.5
2019-11-22,13,45.693962,9.662369,Bergamo,PM2.5
2019-11-23,9,45.693962,9.662369,Bergamo,PM2.5
2019-11-24,8,45.693962,9.662369,Bergamo,PM2.5
2019-11-25,14,45.693962,9.662369,Bergamo,PM2.5
2019-11-26,21,45.693962,9.662369,Bergamo,PM2.5
2019-11-27,21,45.693962,9.662369,Bergamo,PM2.5
2019-11-28,21,45.693962,9.662369,Bergamo,PM2.5
2019-11-29,21,45.693962,9.662369,Bergamo,PM2.5
2019-11-30,26,45.693962,9.662369,Bergamo,PM2.5
2019-12-01,28,45.693962,9.662369,Bergamo,PM2.5
2019-12-02,26,45.693962,9.662369,Bergamo,PM2.5
2019-12-03,24,45.693962,9.662369,Bergamo,PM2.5
2019-12-04,30,45.693962,9.662369,Bergamo,PM2.5
2019-12-05,34,45.693962,9.662369,Bergamo,PM2.5
2019-12-06,46,45.693962,9.662369,Bergamo,PM2.5
2019-12-07,53,45.693962,9.662369,Bergamo,PM2.5
2019-12-08,50,45.693962,9.662369,Bergamo,PM2.5
2019-12-09,63,45.693962,9.662369,Bergamo,PM2.5
2019-12-10,25,45.693962,9.662369,Bergamo,PM2.5
2019-12-11,29,45.693962,9.662369,Bergamo,PM2.5
2019-12-12,32,45.693962,9.662369,Bergamo,PM2.5
2019-12-13,27,45.693962,9.662369,Bergamo,PM2.5
2019-12-14,27,45.693962,9.662369,Bergamo,PM2.5
2019-12-15,36,45.693962,9.662369,Bergamo,PM2.5
2019-12-16,31,45.693962,9.662369,Bergamo,PM2.5
2019-12-17,36,45.693962,9.662369,Bergamo,PM2.5
2019-12-18,36,45.693962,9.662369,Bergamo,PM2.5
2019-12-19,25,45.693962,9.662369,Bergamo,PM2.5
2019-12-20,15,45.693962,9.662369,Bergamo,PM2.5
2019-12-21,14,45.693962,9.662369,Bergamo,PM2.5
2019-12-22,16,45.693962,9.662369,Bergamo,PM2.5
2019-12-23,14,45.693962,9.662369,Bergamo,PM2.5
2019-12-24,25,45.693962,9.662369,Bergamo,PM2.5
2019-12-25,24,45.693962,9.662369,Bergamo,PM2.5
2019-12-26,26,45.693962,9.662369,Bergamo,PM2.5
2019-12-27,32,45.693962,9.662369,Bergamo,PM2.5
2019-12-28,34,45.693962,9.662369,Bergamo,PM2.5
2019-12-29,42,45.693962,9.662369,Bergamo,PM2.5
2019-12-30,48,45.693962,9.662369,Bergamo,PM2.5
2019-12-31,46,45.693962,9.662369,Bergamo,PM2.5
2020-01-01,40,45.693962,9.662369,Bergamo,PM2.5
2020-01-02,44,45.693962,9.662369,Bergamo,PM2.5
2020-01-03,41,45.693962,9.662369,Bergamo,PM2.5
2020-01-04,32,45.693962,9.662369,Bergamo,PM2.5
2020-01-05,25,45.693962,9.662369,Bergamo,PM2.5
2020-01-06,29,45.693962,9.662369,Bergamo,PM2.5
2020-01-07,43,45.693962,9.662369,Bergamo,PM2.5
2020-01-08,60,45.693962,9.662369,Bergamo,PM2.5
2020-01-09,48,45.693962,9.662369,Bergamo,PM2.5
2020-01-10,39,45.693962,9.662369,Bergamo,PM2.5
2020-01-11,35,45.693962,9.662369,Bergamo,PM2.5
2020-01-12,30,45.693962,9.662369,Bergamo,PM2.5
2020-01-13,41,45.693962,9.662369,Bergamo,PM2.5
2020-01-14,55,45.693962,9.662369,Bergamo,PM2.5
2020-01-15,73,45.693962,9.662369,Bergamo,PM2.5
2020-01-16,72,45.693962,9.662369,Bergamo,PM2.5
2020-01-17,41,45.693962,9.662369,Bergamo,PM2.5
2020-01-18,30,45.693962,9.662369,Bergamo,PM2.5
2020-01-19,24,45.693962,9.662369,Bergamo,PM2.5
2020-01-20,21,45.693962,9.662369,Bergamo,PM2.5
2020-01-21,33,45.693962,9.662369,Bergamo,PM2.5
2020-01-22,41,45.693962,9.662369,Bergamo,PM2.5
2020-01-23,44,45.693962,9.662369,Bergamo,PM2.5
2020-01-24,49,45.693962,9.662369,Bergamo,PM2.5
2020-01-25,62,45.693962,9.662369,Bergamo,PM2.5
2020-01-26,66,45.693962,9.662369,Bergamo,PM2.5
2020-01-27,54,45.693962,9.662369,Bergamo,PM2.5
2020-01-28,33,45.693962,9.662369,Bergamo,PM2.5
2020-01-29,20,45.693962,9.662369,Bergamo,PM2.5
2020-01-30,36,45.693962,9.662369,Bergamo,PM2.5
2020-01-31,45,45.693962,9.662369,Bergamo,PM2.5
2020-02-01,60,45.693962,9.662369,Bergamo,PM2.5
2020-02-02,37,45.693962,9.662369,Bergamo,PM2.5
2020-02-03,35,45.693962,9.662369,Bergamo,PM2.5
2020-02-04,18,45.693962,9.662369,Bergamo,PM2.5
2020-02-05,13,45.693962,9.662369,Bergamo,PM2.5
2020-02-06,24,45.693962,9.662369,Bergamo,PM2.5
2020-02-07,27,45.693962,9.662369,Bergamo,PM2.5
2020-02-08,48,45.693962,9.662369,Bergamo,PM2.5
2020-02-09,56,45.693962,9.662369,Bergamo,PM2.5
2020-02-10,40,45.693962,9.662369,Bergamo,PM2.5
2020-02-11,17,45.693962,9.662369,Bergamo,PM2.5
2020-02-12,12,45.693962,9.662369,Bergamo,PM2.5
2020-02-13,24,45.693962,9.662369,Bergamo,PM2.5
2020-02-14,26,45.693962,9.662369,Bergamo,PM2.5
2020-02-15,32,45.693962,9.662369,Bergamo,PM2.5
2020-02-16,57,45.693962,9.662369,Bergamo,PM2.5
2020-02-17,61,45.693962,9.662369,Bergamo,PM2.5
2020-02-18,42,45.693962,9.662369,Bergamo,PM2.5
2020-02-19,32,45.693962,9.662369,Bergamo,PM2.5
2020-02-20,22,45.693962,9.662369,Bergamo,PM2.5
2020-02-21,33,45.693962,9.662369,Bergamo,PM2.5
2020-02-22,39,45.693962,9.662369,Bergamo,PM2.5
